"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","150.563575006503","153.663114236737","130.851635950079","138.271887765971","167.507820772714","178.635966692136","189.11125104999","214.742689023988","236.913529488301","263.668059335586","259.343523006121","252.114998491714","","","","","","","","","","","","","","","","","","","","106.81450472783","169.886614325646","178.727828625637","196.2033073485","225.802408735255","245.150434749862","331.331146811278","331.233393630301","395.574537209534","486.988111640772","535.340277368411","590.467493386091","559.233940170138","548.537094890018","494.301629555736","489.784741396643","","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","390.896740096895","406.926245078015","353.121311324644","337.734172239555","498.146804902251","419.05714710095","461.844261540396","2.12814985488411","7.18168832030208","-51.561645500096","45.5607576857221","74.2333723164202","109.301906839986","140.55620425407","15.4294942431512","-15.0418722893315","83.4282106718095","224.888499158668","267.790583940757","281.275914322264","226.405978630855","453.757531267592","629.270443334654","251.732842990866","902.609338234795","1095.24141427825","1217.67800564792","1486.53815956669","1854.94553758487","2090.854917522","2062.99344018475","1777.4484102621","","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","519.823818745254","522.360545261451","624.374606540191","595.00078014916","575.73274435309","611.552843462812","539.564833397425","290.300641091931","175.525987157187","341.92396797173","571.352904108584","717.602549568051","1000.43849138285","705.162470591631","820.012269015148","1042.31020096022","1120.14232968411","1265.03962697586","1369.50567707832","1784.39647032669","2274.73059805155","2535.16480631245","2838.87438469885","3343.59161502858","3961.31915493242","3622.8902864929","3530.05402797182","3850.76617568404","3641.1927662576","3866.50164748281","3937.22237228726","3458.72571382078","3606.90385116229","","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1429.43422831023","1578.04667323889","1522.13562488191","1395.8041224777","1362.74277407275","1335.15691736576","1275.25224043875","1299.05268857299","1265.11635537144","1250.16865772818","1681.44364815931","1610.79494601219","1742.0146741256","1708.21365545977","1681.29774116847","1772.52598115309","1904.21563782436","1986.56339423633","1943.16804737904","2007.06335332241","2138.1064804821","2103.35279420019","2087.46543719744","2244.37119721902","2539.10865891441","2943.74844358195","3434.30826838218","3994.85282898165","4820.68130003019","4242.50399751402","4783.43742298383","5429.71032223019","5847.78484023159","5920.74772140017","6043.69413851173","5443.48372481689","5182.50103615528","","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28946.5652783565","28041.9646316976","29435.2817306627","32144.2842635703","33469.9448383719","36411.6127585356","37531.3985596359","38831.0628152714","28504.9511017738","31812.9754348241","36076.3828397653","37502.5670798445","39176.9519686216","40199.4328327948","36198.9123519401","34579.6695873317","","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1195.19195449538","1304.83058910917","1299.44058622754","1971.02793177117","2652.00386795912","1899.23050728238","1789.8094578481","1942.62909213248","1951.1966679753","2231.52207292601","2414.59773089961","2405.88034123524","2475.94276058964","3014.48534465844","2257.99820741307","2479.27489915414","3162.3878353044","3092.25758646702","3478.11194548417","1929.28304919271","3717.49288895384","5082.62751645807","6158.88978732207","6329.50473927077","6765.44057135153","6616.08890926701","6853.52925713367","7113.06446753495","7181.07405437217","6644.33728697095","6520.19341973606","6073.20256997142","1929.41375385651","2623.05743674911","3412.95126728661","4170.52392079028","4867.42237713725","6076.35997775261","7546.59552249165","6922.96367913502","8751.99210641803","10930.0274174861","11189.2662783089","11216.5814080168","10536.7831446385","11728.0350628474","10729.8648818168","","",
"Armenia","ARM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470.770364337315","","","539.693521573231","606.007670690806","682.849074995176","815.893244189593","1047.91041238845","1475.61861206724","1959.61952124451","2886.46280573837","3741.63309316441","2723.48301431318","2918.110539408","3143.54582735058","3280.34100362441","3514.23683485837","3589.73053735079","3173.76442467063","3087.809980323","","",
"American Samoa","ASM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
